src_ip,src_port,dst_ip,dst_port,protocol,connection_state,duration,src_bytes,dst_bytes,src_packets,dst_packets,src_ttl,dst_ttl,service,500473.9375,621800.9375,2,2,0,0,0,0,66,82,0,0,0,0,1421927414,1421927414,0.017,0.013,0,0,0,0,0,0,0,0,3,7,1,3,1,1,1,attack_type,0
175.45.176.1,35063,149.171.126.17,111,udp,INT,0.00001,168,0,254,0,0,0,-,67200000,0,2,0,0,0,0,0,84,0,0,0,0,0,1421927480,1421927480,0.01,0,0,0,0,0,2,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
59.166.0.2,54305,149.171.126.8,54547,tcp,FIN,1.253303,8928,320,31,29,4,1,ftp-data,52922.55469,1704.296509,14,6,255,255,2464080593,829670936,638,53,0,0,9070.990733,390.218906,1421927480,1421927481,96.407924,250.538594,0.000633,0.000479,0.000154,0,0,0,0,0,2,2,2,6,1,1,1,,0
59.166.0.7,53981,149.171.126.3,11922,tcp,FIN,0.571674,424,8824,31,29,1,4,ftp-data,5191.77002,113197.3828,8,12,255,255,631208364,965579100,53,735,0,0,4855.328449,3843.316421,1421927480,1421927481,81.620286,51.919092,0.00071,0.000563,0.000147,0,0,0,0,0,2,3,1,4,1,1,1,,0
59.166.0.2,15527,149.171.126.5,22,tcp,FIN,0.01249,5928,8010,31,29,14,17,ssh,3736109,5042114,62,58,255,255,1303720048,3449412797,96,138,0,0,13.095808,14.281369,1421927481,1421927481,0.204754,0.207211,0.000679,0.00054,0.000139,0,0,0,0,0,2,1,4,6,1,1,1,,0
59.166.0.6,40127,149.171.126.4,49559,tcp,FIN,0.108987,4550,72810,31,29,7,33,-,329727.375,5277693.5,78,80,255,255,1183720572,1184033091,58,910,0,0,79.978369,78.928833,1421927481,1421927481,1.411273,1.372063,0.00072,0.000586,0.000134,0,0,0,0,0,2,5,4,2,1,1,2,,0
59.166.0.2,42800,149.171.126.4,53,udp,CON,0.001083,146,178,31,29,0,0,dns,539242.875,657433.0625,2,2,0,0,0,0,73,89,0,0,0,0,1421927481,1421927481,0.011,0.007,0,0,0,0,0,0,0,0,1,5,4,6,1,1,1,,0
59.166.0.6,35517,149.171.126.4,41749,tcp,FIN,0.040909,2542,18508,31,29,7,13,-,484783.3125,3529003.5,40,40,255,255,1183723712,3394841756,64,463,0,0,64.899654,1.774737,1421927481,1421927481,1.040744,1.035897,0.00064,0.000506,0.000134,0,0,0,0,0,2,5,4,2,1,1,2,,0
59.166.0.7,23945,149.171.126.0,24928,udp,CON,0.001713,520,304,31,29,0,0,-,1821366,1064798.625,4,4,0,0,0,0,130,76,0,0,0.623197,0.290623,1421927481,1421927481,0.443667,0.209,0,0,0,0,0,0,0,0,7,9,5,4,1,1,2,,0
59.166.0.7,9805,149.171.126.8,53,udp,CON,0.001058,130,162,31,29,0,0,dns,491493.375,612476.375,2,2,0,0,0,0,65,81,0,0,0,0,1421927481,1421927481,0.001,0.002,0,0,0,0,0,0,0,0,1,2,2,4,1,1,1,,0
59.166.0.4,35643,149.171.126.5,5190,tcp,FIN,0.004166,1064,2260,31,29,4,4,-,1874219.875,3978876.5,12,12,255,255,3389106880,1244017131,89,188,0,0,17.551272,0.392288,1421927481,1421927481,0.346455,0.324455,0.000728,0.00059,0.000138,0,0,0,0,0,3,8,4,4,1,1,2,,0
59.166.0.1,29284,149.171.126.7,80,tcp,FIN,1.072524,1580,10168,31,29,3,5,http,10808.15039,71636.625,12,18,255,255,2793303162,644913406,132,565,1,3924,9552.608526,7691.860206,1421927480,1421927481,97.470364,63.061,0.000617,0.000483,0.000134,0,0,1,0,0,3,2,1,2,2,1,1,,0
59.166.0.4,25110,149.171.126.5,65467,tcp,FIN,0.021444,2558,23162,31,29,7,14,-,930796.5,8435366,40,42,255,255,1363729257,3532295496,64,551,0,0,34.562706,31.072468,1421927481,1421927481,0.540641,0.510024,0.000681,0.000527,0.000154,0,0,0,0,0,3,8,4,4,1,1,2,,0
59.166.0.5,18560,149.171.126.0,5190,tcp,FIN,0.006259,1920,4312,31,29,6,6,-,2342866.25,5282633,22,24,255,255,1423719680,1423991716,87,180,0,0,17.995335,14.127653,1421927481,1421927481,0.281619,0.247087,0.000707,0.00057,0.000137,0,0,0,0,0,10,9,5,4,2,1,2,,0
59.166.0.9,39442,149.171.126.5,53,udp,CON,0.001058,146,178,31,29,0,0,dns,551984.875,672967.875,2,2,0,0,0,0,73,89,0,0,0,0,1421927481,1421927481,0.011,0.008,0,0,0,0,0,0,0,0,1,3,4,2,1,1,1,,0
59.166.0.2,63248,149.171.126.1,6881,tcp,FIN,8.638298,24744,1094788,31,29,38,390,-,22863.76367,1012711.5,440,858,255,255,78693809,178614616,56,1276,0,0,7375.586939,5252.688351,1421927472,1421927481,19.676321,10.079075,0.000659,0.00052,0.000139,0,0,0,0,0,8,6,4,6,2,1,2,,0
59.166.0.1,61232,149.171.126.9,80,tcp,FIN,1.158774,1580,10168,31,29,3,5,http,10003.67578,66304.5625,12,18,255,255,463723732,2610168988,132,565,1,3924,9648.448092,7772.341085,1421927480,1421927481,105.309001,68.130883,0.000695,0.000541,0.000154,0,0,1,0,0,3,1,3,2,2,1,1,,0
59.166.0.5,4430,149.171.126.4,53,udp,CON,0.000939,130,162,31,29,0,0,dns,553780.625,690095.875,2,2,0,0,0,0,65,81,0,0,0,0,1421927481,1421927481,0.007,0.004,0,0,0,0,0,0,0,0,4,5,4,4,1,1,1,,0
59.166.0.9,11302,149.171.126.9,25,tcp,FIN,0.491723,37230,3380,31,29,18,8,smtp,594074.3125,53688.76563,52,42,255,255,1123722795,1124771870,716,80,0,0,773.173603,25.301297,1421927481,1421927481,9.634843,11.980244,0.000675,0.000526,0.000149,0,0,0,0,0,1,1,3,2,1,1,1,,0
59.166.0.4,19308,149.171.126.1,53,udp,CON,0.001068,130,162,31,29,0,0,dns,486891.4063,606741.5625,2,2,0,0,0,0,65,81,0,0,0,0,1421927481,1421927481,0.011,0.006,0,0,0,0,0,0,0,0,1,2,4,4,1,1,2,,0
59.166.0.5,64804,149.171.126.0,5190,tcp,FIN,0.005211,1064,2260,31,29,4,4,-,1498368.875,3180963.5,12,12,255,255,1483720011,1484027861,89,188,0,0,21.193282,0.620422,1421927481,1421927481,0.441364,0.421,0.000715,0.00057,0.000145,0,0,0,0,0,10,9,5,4,2,1,2,,0
59.166.0.2,20126,149.171.126.1,6881,tcp,FIN,9.207348,24848,1094788,31,29,38,390,-,21541.05664,950122,442,858,255,255,2224081207,189358792,56,1276,0,0,8032.037501,5742.704355,1421927472,1421927481,20.877592,10.74309,0.000647,0.000509,0.000138,0,0,0,0,0,8,6,4,6,2,1,2,,0
59.166.0.5,3741,149.171.126.9,143,tcp,FIN,0.582033,7816,15132,31,29,30,32,-,106550.6641,206338.8281,122,126,255,255,883722424,3030171118,64,120,0,0,406.957075,401.21792,1421927480,1421927481,4.846667,4.652384,0.000612,0.000479,0.000133,0,0,0,0,0,10,2,3,4,1,1,1,,0
59.166.0.2,44647,149.171.126.0,25,tcp,FIN,0.026541,37358,3380,31,29,18,8,smtp,11044045,994687.4375,52,42,255,255,1003723787,1004783936,718,80,0,0,28.791944,1.201393,1421927481,1421927481,0.513608,0.628634,0.000901,0.000761,0.00014,0,0,0,0,0,1,1,5,6,1,1,1,,0
59.166.0.4,22282,149.171.126.1,35336,tcp,FIN,0.038046,3806,51808,31,29,7,26,-,787888.375,10728907,64,66,255,255,1363722439,3513611180,59,785,0,0,37.687952,37.572096,1421927481,1421927481,0.59873,0.576385,0.000708,0.00057,0.000138,0,0,0,0,0,3,6,4,4,1,1,2,,0
59.166.0.7,22528,149.171.126.0,111,udp,CON,0.004583,568,304,31,29,0,0,-,743617.6875,397992.5625,4,4,0,0,0,0,142,76,0,0,1.719215,1.428356,1421927481,1421927481,1.222667,1.016,0,0,0,0,0,0,0,0,7,9,5,4,1,1,2,,0
59.166.0.7,60818,149.171.126.0,61635,tcp,FIN,0.281123,4152,2872,31,29,7,7,-,113629.9688,78599.04688,26,26,255,255,1543724090,1546831947,160,110,0,0,730.007308,20.041385,1421927481,1421927482,11.232,11.22544,0.000656,0.000483,0.000173,0,0,0,0,0,7,9,1,3,1,1,1,,0
59.166.0.5,51143,149.171.126.8,29455,tcp,FIN,0.067006,3806,51808,31,29,7,26,-,447362.9375,6091872.5,64,66,255,255,1843719946,3989415912,59,785,0,0,64.473186,63.536901,1421927482,1421927482,1.058603,1.037734,0.00072,0.000581,0.000139,0,0,0,0,0,10,7,3,5,1,1,1,,0
59.166.0.1,30807,149.171.126.1,53,udp,CON,0.001024,130,162,31,29,0,0,dns,507812.5,632812.5,2,2,0,0,0,0,65,81,0,0,0,0,1421927482,1421927482,0.011,0.008,0,0,0,0,0,0,0,0,3,2,4,3,1,1,1,,0
59.166.0.3,42409,149.171.126.8,5190,tcp,FIN,0.007262,1064,2260,31,29,4,4,-,1075185.875,2282566.75,12,12,255,255,4293299897,2144039252,89,188,0,0,37.939963,0.999238,1421927482,1421927482,0.622364,0.603545,0.000755,0.000613,0.000142,0,0,0,0,0,7,7,3,4,1,1,1,,0
59.166.0.3,23103,149.171.126.3,25740,tcp,FIN,1.073981,320,1826,31,29,1,2,ftp-data,1988.861938,11903.37598,6,8,255,255,2313311508,3416682250,53,228,0,0,15166.39301,375.001,1421927481,1421927482,214.6882,153.323281,0.000889,0.000713,0.000176,0,0,0,0,0,2,3,1,4,1,1,1,,0
59.166.0.3,27090,149.171.126.5,111,udp,CON,0.135347,568,312,31,29,0,0,-,25179.72461,13831.11621,4,4,0,0,0,0,142,78,0,0,56.553223,56.561707,1421927482,1421927482,39.999668,39.998668,0,0,0,0,0,0,0,0,7,8,5,4,1,1,2,,0
59.166.0.5,5897,149.171.126.4,37959,tcp,FIN,0.056014,4550,72810,31,29,7,33,-,641553.875,10268861,78,80,255,255,4229106459,2084029704,58,910,0,0,40.08168,40.684093,1421927482,1421927482,0.720091,0.701468,0.000727,0.000588,0.000139,0,0,0,0,0,10,5,5,5,1,1,1,,0
59.166.0.8,51838,149.171.126.4,11922,tcp,FIN,0.916593,424,8824,31,29,1,4,ftp-data,3238.078369,70600.57813,8,12,255,255,1651208529,1307246110,53,735,0,0,8697.27392,6924.652704,1421927481,1421927482,130.838567,83.284182,0.001541,0.000463,0.001078,0,0,0,0,0,2,4,5,4,1,1,1,,0
59.166.0.1,32581,149.171.126.7,143,tcp,FIN,0.033845,7816,15132,31,29,30,32,-,1832353.375,3548412,122,126,255,255,1783724331,3930135956,64,120,0,0,17.483021,15.636492,1421927482,1421927482,0.276785,0.266376,0.0007,0.000541,0.000159,0,0,0,0,0,3,3,1,3,1,1,1,,0
59.166.0.7,38140,149.171.126.6,6817,tcp,FIN,0.043864,2662,23162,31,29,7,14,-,474010.5625,4123837.25,42,42,255,255,1963729492,4133446427,63,551,0,0,0,1.827337,1421927482,1421927482,1.06222,1.056585,0.000685,0.00054,0.000145,0,0,0,0,0,7,2,2,3,1,1,1,,0
59.166.0.7,7682,149.171.126.4,52581,tcp,FIN,0.039972,3806,51808,31,29,7,26,-,749924.9375,10211948,64,66,255,255,4113303510,1964056207,59,785,0,0,37.389884,36.538035,1421927482,1421927482,0.629429,0.611859,0.000985,0.000802,0.000183,0,0,0,0,0,7,5,5,3,1,1,1,,0
59.166.0.8,56445,149.171.126.5,24815,udp,CON,0.072017,520,304,31,29,0,0,-,43323.10547,25327.35352,4,4,0,0,0,0,130,76,0,0,15.539379,27.734381,1421927482,1421927482,10.998,19.628666,0,0,0,0,0,0,0,0,2,8,5,4,1,1,2,,0
59.166.0.1,2698,149.171.126.4,21,tcp,FIN,9.043384,2934,3740,31,29,11,15,ftp,2545.949707,3247.457031,52,54,255,255,738690009,2930071540,56,69,0,0,13711.79838,422.406625,1421927473,1421927482,177.310591,170.620391,0.000632,0.000498,0.000134,0,0,0,0,0,1,1,5,3,1,1,1,,0
59.166.0.2,20967,149.171.126.1,6881,tcp,FIN,9.740039,24952,1094788,31,29,38,390,-,20448.37891,898159.0625,444,858,255,255,2224082018,2369528359,56,1276,0,0,8744.115094,6266.796371,1421927472,1421927482,21.985801,11.364692,0.000629,0.000494,0.000135,0,0,0,0,0,8,6,4,3,2,1,2,,0
59.166.0.3,58152,149.171.126.5,57288,udp,CON,0.051052,528,304,31,29,0,0,-,62054.375,35728.27734,4,4,0,0,0,0,132,76,0,0,16.486195,10.851025,1421927482,1421927482,11.662,7.674333,0,0,0,0,0,0,0,0,7,8,5,4,1,1,2,,0
59.166.0.5,25136,149.171.126.6,53,udp,CON,0.001071,146,178,31,29,0,0,dns,545284.75,664799.25,2,2,0,0,0,0,73,89,0,0,0,0,1421927482,1421927482,0.011,0.009,0,0,0,0,0,0,0,0,4,1,2,5,1,1,1,,0
59.166.0.5,33296,149.171.126.2,31292,tcp,FIN,0.050742,2558,23162,31,29,7,14,-,393362.5,3564857.5,40,42,255,255,1843723231,4033840672,64,551,0,0,78.289786,76.76609,1421927482,1421927482,1.292692,1.225122,0.000647,0.000508,0.000139,0,0,0,0,0,10,2,1,5,1,1,1,,0
59.166.0.5,45348,149.171.126.5,43378,tcp,FIN,0.033974,2438,18508,31,29,7,13,-,559015.75,4249367,38,40,255,255,2083723012,2117693154,64,463,0,0,65.686363,63.613171,1421927482,1421927482,0.907405,0.856359,0.000697,0.000547,0.00015,0,0,0,0,0,10,8,5,5,1,1,1,,0
59.166.0.8,4534,149.171.126.1,22,tcp,FIN,0.135829,6032,8010,31,29,14,17,ssh,349733.8438,463641.7813,64,58,255,255,4173301176,2024007198,94,138,0,0,231.345695,246.346265,1421927482,1421927482,2.156016,2.371509,0.000641,0.000515,0.000126,0,0,0,0,0,1,1,4,4,1,1,1,,0
59.166.0.4,62191,149.171.126.4,23183,tcp,FIN,1.894415,8928,320,31,29,4,1,ftp-data,35012.39063,1127.524902,14,6,255,255,2416597471,3162881385,638,53,0,0,15134.81605,673.293188,1421927481,1421927482,145.724228,378.75,0.000687,0.000531,0.000156,0,0,0,0,0,3,4,5,1,1,1,1,,0
59.166.0.8,54876,149.171.126.5,111,udp,CON,0.308068,568,304,31,29,0,0,-,11062.49219,5920.770508,4,4,0,0,0,0,142,76,0,0,138.129297,120.577266,1421927482,1421927482,97.682664,85.266,0,0,0,0,0,0,0,0,2,8,5,4,1,1,2,,0
59.166.0.2,36152,149.171.126.1,6881,tcp,FIN,10.309845,24120,1094788,31,29,38,390,-,18672.63867,848519.4375,428,858,255,255,2224077687,228391260,56,1276,0,0,9834.321824,6921.734488,1421927472,1421927482,24.144066,12.029532,0.000866,0.000526,0.00034,0,0,0,0,0,8,6,4,3,2,1,2,,0
59.166.0.2,23995,149.171.126.8,21,tcp,FIN,8.535861,2934,3740,31,29,11,15,ftp,2697.325928,3440.543457,52,54,255,255,2464077664,829061745,56,69,0,0,11146.67418,324.442656,1421927473,1421927482,167.362789,161.044828,0.000618,0.000482,0.000136,0,0,0,0,0,1,1,3,3,1,1,1,,0
175.45.176.2,40291,149.171.126.19,143,tcp,FIN,0.668831,1008,12548,62,252,6,10,-,11387.03223,143845.0156,18,24,255,255,1863885858,41339344,56,523,0,0,1957.079172,1683.832139,1421927481,1421927482,39.343,28.666219,0.053106,0.005869,0.047237,0,1,0,0,0,1,1,1,1,1,1,1,Exploits,1
175.45.176.2,40291,149.171.126.19,143,tcp,FIN,0.668831,1008,12548,62,252,6,10,-,11387.03223,143845.0156,18,24,255,255,1863885858,41339344,56,523,0,0,1957.079172,1683.832139,1421927481,1421927482,39.343,28.666219,0.053106,0.005869,0.047237,0,1,0,0,0,1,1,1,1,1,1,1,Exploits,1
175.45.176.2,40291,149.171.126.19,143,tcp,FIN,0.668831,1008,12548,62,252,6,10,-,11387.03223,143845.0156,18,24,255,255,1863885858,41339344,56,523,0,0,1957.079172,1683.832139,1421927481,1421927482,39.343,28.666219,0.053106,0.005869,0.047237,0,1,0,0,0,1,1,1,1,1,1,1,Exploits,1
175.45.176.3,59106,149.171.126.18,111,tcp,FIN,0.626161,564,354,254,252,2,1,-,6490.34375,3960.642822,10,8,255,255,1793132359,3920545789,56,44,0,0,5429.095591,138.693875,1421927482,1421927483,69.016889,88.591289,0.050902,0.006012,0.04489,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
175.45.176.2,44133,149.171.126.19,111,udp,INT,0.000011,168,0,254,0,0,0,-,61090908,0,2,0,0,0,0,0,84,0,0,0,0,0,1421927483,1421927483,0.011,0,0,0,0,0,2,0,0,0,2,1,1,1,1,1,1,Reconnaissance,1
59.166.0.1,61218,149.171.126.5,64102,tcp,FIN,0.038981,3806,51808,31,29,7,26,-,768990,10471563,64,66,255,255,416238975,416557302,59,785,0,0,37.937902,37.186127,1421927483,1421927483,0.613667,0.590308,0.000751,0.000601,0.00015,0,0,0,0,0,3,8,1,3,1,1,1,,0
59.166.0.3,61606,149.171.126.8,57612,udp,CON,0.001809,520,304,31,29,0,0,-,1724709.75,1008291.875,4,4,0,0,0,0,130,76,0,0,0.646767,0.389852,1421927483,1421927483,0.461333,0.279667,0,0,0,0,0,0,0,0,7,7,3,5,1,1,2,,0
59.166.0.3,64299,149.171.126.6,16207,tcp,FIN,0.017994,2558,23162,31,29,7,14,-,1109258.625,10052684,40,42,255,255,296239303,320532541,64,551,0,0,29.476702,27.794685,1421927483,1421927483,0.453128,0.425171,0.000697,0.000561,0.000136,0,0,0,0,0,7,2,1,5,1,1,1,,0
59.166.0.9,24314,149.171.126.8,5190,tcp,FIN,0.00429,1064,2260,31,29,4,4,-,1820046.625,3863869.5,12,12,255,255,596235184,2746136440,89,188,0,0,17.889447,0.402124,1421927483,1421927483,0.357364,0.332273,0.000779,0.000625,0.000154,0,0,0,0,0,2,7,3,1,1,1,1,,0
59.166.0.2,15518,149.171.126.3,35215,tcp,FIN,0.019187,2558,23162,31,29,7,14,-,1040287.688,9427633,40,42,255,255,236238441,259785926,64,551,0,0,31.918927,30.162033,1421927483,1421927483,0.483615,0.456317,0.000595,0.000475,0.00012,0,0,0,0,0,8,3,2,2,1,1,1,,0
59.166.0.3,36052,149.171.126.4,15334,tcp,FIN,0.039006,3806,51808,31,29,7,26,-,768497.1875,10464852,64,66,255,255,296236129,296547358,59,785,0,0,37.158772,37.284927,1421927483,1421927483,0.614111,0.609508,0.000735,0.000597,0.000138,0,0,0,0,0,7,5,1,5,1,1,1,,0
59.166.0.2,17586,149.171.126.1,6881,tcp,FIN,11.027908,36866,1641360,31,29,55,583,-,26703.88477,1189764,662,1278,255,255,78692176,148859839,56,1284,0,0,5713.108015,4105.452798,1421927472,1421927483,16.683134,8.635405,0.000624,0.000489,0.000135,0,0,0,0,0,8,6,1,2,1,1,1,,0
59.166.0.1,27449,149.171.126.2,11922,tcp,FIN,1.297513,424,8824,31,29,1,4,ftp-data,2287.452881,49873.875,8,12,255,255,1531209249,1655270529,53,735,0,0,12301.29453,9803.951181,1421927482,1421927483,185.311281,117.91073,0.00062,0.000491,0.000129,0,0,0,0,0,2,2,1,3,1,1,1,,0
59.166.0.1,28096,149.171.126.3,24520,tcp,FIN,0.01726,2558,23162,31,29,7,14,-,1156431,10480185,40,42,255,255,416245565,2585379704,64,551,0,0,26.843599,26.140404,1421927483,1421927483,0.432154,0.41735,0.000695,0.000543,0.000152,0,0,0,0,0,3,3,2,3,1,1,1,,0
59.166.0.3,13897,149.171.126.7,53,udp,CON,0.001099,146,178,31,29,0,0,dns,531392.1875,647861.6875,2,2,0,0,0,0,73,89,0,0,0,0,1421927483,1421927483,0.008,0.008,0,0,0,0,0,0,0,0,3,1,1,5,1,1,1,,0
59.166.0.3,24620,149.171.126.8,59381,tcp,FIN,0.006236,3736,2456,31,29,7,7,-,4527261,2976266.75,18,18,255,255,2621627111,2628782083,208,136,0,0,19.398615,0.534875,1421927483,1421927483,0.347294,0.338765,0.000624,0.000474,0.00015,0,0,0,0,0,7,7,3,5,1,1,2,,0
59.166.0.2,64456,149.171.126.1,6881,tcp,FIN,11.30841,31082,1382446,31,29,47,491,-,21949.68164,977088.0625,556,1078,255,255,2224079446,2313801557,56,1282,0,0,6648.549049,4778.189259,1421927472,1421927483,20.374842,10.499376,0.0007,0.000572,0.000128,0,0,0,0,0,4,9,2,2,1,1,1,,0
59.166.0.3,29630,149.171.126.5,57966,tcp,FIN,0.698384,4656,3080,31,29,7,7,-,51433.02344,34113.03906,28,30,255,255,3869109779,1823907041,166,103,0,0,1404.441818,35.322633,1421927482,1421927483,25.853629,24.062861,0.000751,0.000557,0.000194,0,0,0,0,0,10,7,2,4,1,1,1,,0
59.166.0.8,29806,149.171.126.5,58313,tcp,FIN,0.697818,4256,3080,31,29,7,7,-,47049.51953,34140.70703,28,30,255,255,3809111835,1890899078,152,103,0,0,1685.37981,45.523645,1421927482,1421927483,25.832259,24.046,0.000602,0.000478,0.000124,0,0,0,0,0,3,7,2,3,1,1,1,,0
59.166.0.8,1116,149.171.126.6,53,udp,CON,0.000979,130,162,31,29,0,0,dns,531154.25,661899.875,2,2,0,0,0,0,65,81,0,0,0,0,1421927483,1421927483,0.008,0.003,0,0,0,0,0,0,0,0,6,1,1,3,2,1,1,,0
59.166.0.8,37139,149.171.126.2,53,udp,CON,0.000963,130,162,31,29,0,0,dns,539979.25,672897.1875,2,2,0,0,0,0,65,81,0,0,0,0,1421927483,1421927483,0.001,0.002,0,0,0,0,0,0,0,0,6,3,1,3,2,1,1,,0
59.166.0.2,14075,149.171.126.4,7248,tcp,FIN,0.038703,3806,51808,31,29,7,26,-,774513.625,10546780,64,66,255,255,2385816478,236544643,59,785,0,0,36.302869,34.733583,1421927483,1421927483,0.608,0.586354,0.000715,0.000579,0.000136,0,0,0,0,0,4,6,3,2,1,1,1,,0
59.166.0.1,62150,149.171.126.4,22269,tcp,FIN,0.041889,2438,18508,31,29,7,13,-,453388.7188,3446441.75,38,40,255,255,536238257,570209551,64,463,0,0,69.449857,68.190747,1421927483,1421927483,1.123622,1.058949,0.000741,0.000584,0.000157,0,0,0,0,0,6,6,3,2,1,1,1,,0
59.166.0.3,37276,149.171.126.0,25,tcp,FIN,0.028734,37358,3276,31,29,18,8,smtp,10201155,889538.5,52,40,255,255,2325821281,177858085,718,82,0,0,33.313647,1.658189,1421927483,1421927483,0.556431,0.724026,0.000617,0.000491,0.000126,0,0,0,0,0,1,1,1,4,1,1,1,,0
59.166.0.3,60276,149.171.126.8,111,udp,CON,0.004393,568,304,31,29,0,0,-,775779.625,415206,4,4,0,0,0,0,142,76,0,0,1.678436,1.411385,1421927483,1421927483,1.190333,1.002,0,0,0,0,0,0,0,0,10,4,3,4,1,1,2,,0
59.166.0.7,10323,149.171.126.7,5190,tcp,FIN,0.120347,1920,4416,31,29,6,6,-,121847.6563,282316.9688,22,26,255,255,2261621988,116548498,87,170,0,0,419.917486,386.397305,1421927483,1421927483,5.713334,4.78928,0.000746,0.000604,0.000142,0,0,0,0,0,5,4,2,1,1,1,1,,0
59.166.0.4,59795,149.171.126.4,21,tcp,FIN,7.009893,2934,3742,31,29,11,15,ftp,3284.500977,4191.790039,52,54,255,255,2416594799,2479395326,56,69,0,0,9899.927239,269.769687,1421927476,1421927483,137.439708,132.251187,0.000717,0.000576,0.000141,0,0,0,0,0,1,2,3,1,1,1,1,,0
59.166.0.5,54442,149.171.126.8,80,tcp,FIN,1.008328,1684,10168,31,29,3,5,http,12408.66113,76197.42969,14,18,255,255,1603723999,1604779527,120,565,1,3924,8774.525268,7682.998886,1421927482,1421927483,77.534305,59.283176,0.000657,0.000507,0.00015,0,0,1,0,0,2,1,3,2,1,1,1,,0
59.166.0.6,33315,149.171.126.9,56538,tcp,FIN,1.374485,320,1862,31,29,1,2,ftp-data,1554.036621,9487.189453,6,8,255,255,2849111290,1694289338,53,233,0,0,19421.77214,480.460688,1421927482,1421927483,274.8376,196.276578,0.000707,0.000545,0.000162,0,0,0,0,0,3,2,1,1,1,1,1,,0
59.166.0.1,22736,149.171.126.7,62343,tcp,FIN,0.056016,4550,72810,31,29,7,33,-,641531,10268494,78,80,255,255,2681621676,2681926293,58,910,0,0,46.920455,45.960039,1421927483,1421927483,0.723273,0.701696,0.000704,0.000571,0.000133,0,0,0,0,0,6,4,2,2,1,1,1,,0
