src_ip,dst_ip,dst_port,duration,src_bytes,dst_bytes,src_packets,dst_packets,service,timestamp,protocol,connection_state,src_ttl,dst_ttl,attack_type
192.168.1.215,10.0.0.90,80,0.002468983790226497,156,92,4,4,http,2025-03-27 10:00:44.900000000,TCP,ESTABLISHED,64,64,0
192.168.1.250,10.0.0.160,80,0.009761272039996997,187,82,7,4,http,2025-03-27 10:00:00.200000000,TCP,ESTABLISHED,64,64,0
192.168.1.197,10.0.0.249,80,0.0036997266552116436,300,124,7,3,http,2025-03-27 10:00:10.000000000,TCP,ESTABLISHED,64,64,0
192.168.1.200,10.0.0.227,80,0.0011763668118381899,410,132,2,1,http,2025-03-27 10:00:37.300000000,TCP,ESTABLISHED,64,64,0
192.168.1.240,10.0.0.20,80,0.009445938693124364,377,137,5,2,http,2025-03-27 10:00:34.100000000,TCP,ESTABLISHED,64,64,0
192.168.1.4,10.0.0.174,80,0.008293125163798439,130,153,3,1,http,2025-03-27 10:00:35.600000000,TCP,ESTABLISHED,64,64,0
192.168.1.121,10.0.0.72,80,0.006785339456208915,425,154,3,2,http,2025-03-27 10:00:41.900000000,TCP,ESTABLISHED,64,64,0
192.168.1.227,10.0.0.2,80,0.008821932550660716,417,155,3,2,http,2025-03-27 10:00:23.400000000,TCP,ESTABLISHED,64,64,0
192.168.1.239,10.0.0.6,80,0.007012150420875926,408,129,2,1,http,2025-03-27 10:00:40.500000000,TCP,ESTABLISHED,64,64,0
192.168.1.144,10.0.0.127,80,0.009402775922586207,250,163,3,3,http,2025-03-27 10:00:30.700000000,TCP,ESTABLISHED,64,64,0
192.168.1.12,10.0.0.182,80,0.0021349640143481893,165,193,6,4,http,2025-03-27 10:00:26.000000000,TCP,ESTABLISHED,64,64,0
192.168.1.187,10.0.0.173,80,0.002817099545879292,125,168,2,1,http,2025-03-27 10:00:18.400000000,TCP,ESTABLISHED,64,64,0
192.168.1.56,10.0.0.235,80,0.002468177756202936,404,147,7,4,http,2025-03-27 10:00:23.100000000,TCP,ESTABLISHED,64,64,0
192.168.1.158,10.0.0.239,80,0.001167497009758236,472,124,5,1,http,2025-03-27 10:00:48.000000000,TCP,ESTABLISHED,64,64,0
192.168.1.174,10.0.0.73,80,0.003195229409099327,145,132,7,2,http,2025-03-27 10:00:42.400000000,TCP,ESTABLISHED,64,64,0
192.168.1.229,10.0.0.240,80,0.006267492556199682,346,152,3,2,http,2025-03-27 10:00:00.800000000,TCP,ESTABLISHED,64,64,0
192.168.1.20,10.0.0.63,80,0.0045032653335411975,495,91,2,3,http,2025-03-27 10:00:25.100000000,TCP,ESTABLISHED,64,64,0
192.168.1.49,10.0.0.18,80,0.008822734378629724,118,143,6,1,http,2025-03-27 10:00:11.900000000,TCP,ESTABLISHED,64,64,0
192.168.1.103,10.0.0.71,80,0.001376201198114597,111,85,4,1,http,2025-03-27 10:00:40.300000000,TCP,ESTABLISHED,64,64,0
192.168.1.40,10.0.0.231,80,0.0018995110134051546,111,183,6,4,http,2025-03-27 10:00:26.600000000,TCP,ESTABLISHED,64,64,0
192.168.1.99,10.0.0.136,80,0.0032633031276673385,384,51,6,2,http,2025-03-27 10:00:26.700000000,TCP,ESTABLISHED,64,64,0
192.168.1.218,10.0.0.20,80,0.004129563852743143,107,52,3,3,http,2025-03-27 10:00:30.500000000,TCP,ESTABLISHED,64,64,0
192.168.1.170,10.0.0.180,80,0.00489764667068572,228,78,3,1,http,2025-03-27 10:00:20.200000000,TCP,ESTABLISHED,64,64,0
192.168.1.27,10.0.0.230,80,0.007036689337383733,485,166,2,2,http,2025-03-27 10:00:32.200000000,TCP,ESTABLISHED,64,64,0
192.168.1.39,10.0.0.252,80,0.006002655174246452,300,75,2,4,http,2025-03-27 10:00:16.300000000,TCP,ESTABLISHED,64,64,0
192.168.1.224,10.0.0.207,80,0.006942829659981928,421,120,7,2,http,2025-03-27 10:00:18.100000000,TCP,ESTABLISHED,64,64,0
192.168.1.61,10.0.0.47,80,0.009942343237315927,131,189,6,4,http,2025-03-27 10:00:41.200000000,TCP,ESTABLISHED,64,64,0
192.168.1.22,10.0.0.11,80,0.009733716699284509,406,80,2,2,http,2025-03-27 10:00:00.700000000,TCP,ESTABLISHED,64,64,0
192.168.1.253,10.0.0.7,80,0.0047795799677374075,402,197,6,4,http,2025-03-27 10:00:46.200000000,TCP,ESTABLISHED,64,64,0
192.168.1.216,10.0.0.3,80,0.007377646576845194,220,83,7,4,http,2025-03-27 10:00:30.200000000,TCP,ESTABLISHED,64,64,0
192.168.1.16,10.0.0.63,80,0.0022367977725621293,292,74,6,2,http,2025-03-27 10:00:33.900000000,TCP,ESTABLISHED,64,64,0
192.168.1.40,10.0.0.190,80,0.008115686563161239,210,97,2,3,http,2025-03-27 10:00:41.700000000,TCP,ESTABLISHED,64,64,0
192.168.1.23,10.0.0.157,80,0.007980120150417318,465,195,7,3,http,2025-03-27 10:00:40.800000000,TCP,ESTABLISHED,64,64,0
192.168.1.192,10.0.0.230,80,0.009648721370249802,484,71,6,1,http,2025-03-27 10:00:19.900000000,TCP,ESTABLISHED,64,64,0
192.168.1.204,10.0.0.77,80,0.004586109792788729,413,189,5,2,http,2025-03-27 10:00:27.300000000,TCP,ESTABLISHED,64,64,0
192.168.1.55,10.0.0.109,80,0.005722994417616208,389,105,5,3,http,2025-03-27 10:00:33.400000000,TCP,ESTABLISHED,64,64,0
192.168.1.19,10.0.0.86,80,0.005543175632260123,282,183,4,2,http,2025-03-27 10:00:18.000000000,TCP,ESTABLISHED,64,64,0
192.168.1.135,10.0.0.179,80,0.0017781932832383076,367,109,5,4,http,2025-03-27 10:00:20.800000000,TCP,ESTABLISHED,64,64,0
192.168.1.69,10.0.0.180,80,0.0032356753508662184,434,178,3,1,http,2025-03-27 10:00:23.300000000,TCP,ESTABLISHED,64,64,0
192.168.1.88,10.0.0.163,80,0.0071300913403712085,397,124,7,4,http,2025-03-27 10:00:44.100000000,TCP,ESTABLISHED,64,64,0
192.168.1.69,10.0.0.221,80,0.008389313696121987,479,119,4,4,http,2025-03-27 10:00:13.500000000,TCP,ESTABLISHED,64,64,0
192.168.1.249,10.0.0.195,80,0.004792307983136513,418,88,3,2,http,2025-03-27 10:00:06.700000000,TCP,ESTABLISHED,64,64,0
192.168.1.174,10.0.0.25,80,0.0014804596006131006,143,157,2,1,http,2025-03-27 10:00:07.900000000,TCP,ESTABLISHED,64,64,0
192.168.1.195,10.0.0.66,80,0.0023442556232834534,196,73,2,2,http,2025-03-27 10:00:06.100000000,TCP,ESTABLISHED,64,64,0
192.168.1.211,10.0.0.212,80,0.006392863973082218,143,91,4,4,http,2025-03-27 10:00:07.100000000,TCP,ESTABLISHED,64,64,0
192.168.1.170,10.0.0.117,80,0.0055923071123099586,121,142,7,4,http,2025-03-27 10:00:28.300000000,TCP,ESTABLISHED,64,64,0
192.168.1.120,10.0.0.229,80,0.009094961610944585,354,131,5,2,http,2025-03-27 10:00:26.200000000,TCP,ESTABLISHED,64,64,0
192.168.1.138,10.0.0.63,80,0.00597080855674551,101,120,6,1,http,2025-03-27 10:00:19.800000000,TCP,ESTABLISHED,64,64,0
192.168.1.106,10.0.0.56,80,0.0068213489495620875,350,82,4,4,http,2025-03-27 10:00:44.000000000,TCP,ESTABLISHED,64,64,0
192.168.1.137,10.0.0.52,80,0.003845022696274742,456,56,2,3,http,2025-03-27 10:00:41.800000000,TCP,ESTABLISHED,64,64,0
192.168.1.241,10.0.0.251,80,0.003392412504149569,280,167,3,4,http,2025-03-27 10:00:25.400000000,TCP,ESTABLISHED,64,64,0
192.168.1.9,10.0.0.210,80,0.003347336589483515,134,167,4,3,http,2025-03-27 10:00:19.600000000,TCP,ESTABLISHED,64,64,0
192.168.1.139,10.0.0.157,80,0.003815294362386383,202,170,3,4,http,2025-03-27 10:00:19.500000000,TCP,ESTABLISHED,64,64,0
192.168.1.6,10.0.0.15,80,0.004712140183291016,497,185,5,1,http,2025-03-27 10:00:25.000000000,TCP,ESTABLISHED,64,64,0
192.168.1.10,10.0.0.5,80,0.00424117646931942,239,156,7,4,http,2025-03-27 10:00:15.200000000,TCP,ESTABLISHED,64,64,0
192.168.1.170,10.0.0.133,80,0.008900768721201664,462,69,5,2,http,2025-03-27 10:00:16.600000000,TCP,ESTABLISHED,64,64,0
192.168.1.109,10.0.0.206,80,0.004739069122812533,386,91,4,2,http,2025-03-27 10:00:12.700000000,TCP,ESTABLISHED,64,64,0
192.168.1.254,10.0.0.186,80,0.006580354948468069,405,186,2,2,http,2025-03-27 10:00:22.900000000,TCP,ESTABLISHED,64,64,0
192.168.1.142,10.0.0.151,80,0.004709242622199079,232,128,2,4,http,2025-03-27 10:00:05.200000000,TCP,ESTABLISHED,64,64,0
192.168.1.195,10.0.0.163,80,0.004793951626446819,108,91,5,1,http,2025-03-27 10:00:48.300000000,TCP,ESTABLISHED,64,64,0
192.168.1.35,10.0.0.113,80,0.0020427200455948266,200,104,2,4,http,2025-03-27 10:00:40.600000000,TCP,ESTABLISHED,64,64,0
192.168.1.124,10.0.0.145,80,0.009872074304586167,131,153,6,4,http,2025-03-27 10:00:36.500000000,TCP,ESTABLISHED,64,64,0
192.168.1.252,10.0.0.29,80,0.001156417075022792,243,136,7,3,http,2025-03-27 10:00:36.700000000,TCP,ESTABLISHED,64,64,0
192.168.1.215,10.0.0.39,80,0.00832558020336607,423,93,4,1,http,2025-03-27 10:00:35.500000000,TCP,ESTABLISHED,64,64,0
192.168.1.76,10.0.0.160,80,0.002488520426218806,365,140,3,3,http,2025-03-27 10:00:48.600000000,TCP,ESTABLISHED,64,64,0
192.168.1.149,10.0.0.95,80,0.006005392262927239,194,74,5,1,http,2025-03-27 10:00:01.000000000,TCP,ESTABLISHED,64,64,0
192.168.1.114,10.0.0.83,80,0.0038045008437377157,134,65,5,2,http,2025-03-27 10:00:38.600000000,TCP,ESTABLISHED,64,64,0
192.168.1.25,10.0.0.166,80,0.0014705351790246862,124,133,4,4,http,2025-03-27 10:00:05.900000000,TCP,ESTABLISHED,64,64,0
192.168.1.176,10.0.0.113,80,0.0075028713250959965,195,50,7,3,http,2025-03-27 10:00:40.000000000,TCP,ESTABLISHED,64,64,0
192.168.1.60,10.0.0.170,80,0.009212269728517575,109,128,6,1,http,2025-03-27 10:00:14.000000000,TCP,ESTABLISHED,64,64,0
192.168.1.216,10.0.0.153,80,0.008672201781986336,421,183,5,1,http,2025-03-27 10:00:05.300000000,TCP,ESTABLISHED,64,64,0
192.168.1.117,10.0.0.163,80,0.0033943318765707175,321,98,7,2,http,2025-03-27 10:00:47.300000000,TCP,ESTABLISHED,64,64,0
192.168.1.175,10.0.0.134,80,0.0027631710925670443,350,147,7,4,http,2025-03-27 10:00:32.299999999,TCP,ESTABLISHED,64,64,0
192.168.1.35,10.0.0.241,80,0.0014024577365526162,288,181,4,2,http,2025-03-27 10:00:29.600000000,TCP,ESTABLISHED,64,64,0
192.168.1.59,10.0.0.116,80,0.007880376728768564,461,151,5,3,http,2025-03-27 10:00:48.800000000,TCP,ESTABLISHED,64,64,0
192.168.1.34,10.0.0.84,80,0.0023315954844087467,284,84,5,4,http,2025-03-27 10:00:46.300000000,TCP,ESTABLISHED,64,64,0
192.168.1.112,10.0.0.154,80,0.0035014223379534284,406,51,5,2,http,2025-03-27 10:00:26.300000000,TCP,ESTABLISHED,64,64,0
192.168.1.182,10.0.0.76,80,0.005326816896098461,270,181,3,1,http,2025-03-27 10:00:12.900000000,TCP,ESTABLISHED,64,64,0
192.168.1.173,10.0.0.172,80,0.009068948102696529,281,191,7,1,http,2025-03-27 10:00:01.400000000,TCP,ESTABLISHED,64,64,0
192.168.1.228,10.0.0.63,80,0.0038524729009026836,474,171,4,4,http,2025-03-27 10:00:34.900000000,TCP,ESTABLISHED,64,64,0
192.168.1.168,10.0.0.166,80,0.007166065470699697,293,65,7,2,http,2025-03-27 10:00:21.900000000,TCP,ESTABLISHED,64,64,0
192.168.1.230,10.0.0.49,80,0.0031461573360091494,276,157,3,1,http,2025-03-27 10:00:45.200000000,TCP,ESTABLISHED,64,64,0
192.168.1.147,10.0.0.235,80,0.003930159598132886,144,170,4,4,http,2025-03-27 10:00:03.000000000,TCP,ESTABLISHED,64,64,0
192.168.1.169,10.0.0.34,80,0.005378772651421837,395,68,4,4,http,2025-03-27 10:00:18.500000000,TCP,ESTABLISHED,64,64,0
192.168.1.96,10.0.0.26,80,0.0072457163580987305,183,163,3,3,http,2025-03-27 10:00:00.400000000,TCP,ESTABLISHED,64,64,0
192.168.1.115,10.0.0.5,80,0.007917308331908207,317,79,3,2,http,2025-03-27 10:00:43.100000000,TCP,ESTABLISHED,64,64,0
192.168.1.131,10.0.0.235,80,0.00611610533993723,353,115,6,1,http,2025-03-27 10:00:30.600000000,TCP,ESTABLISHED,64,64,0
192.168.1.42,10.0.0.44,80,0.005336969316674889,129,67,3,1,http,2025-03-27 10:00:02.400000000,TCP,ESTABLISHED,64,64,0
192.168.1.242,10.0.0.22,80,0.007583821428389897,429,189,6,3,http,2025-03-27 10:00:10.900000000,TCP,ESTABLISHED,64,64,0
192.168.1.224,10.0.0.33,80,0.0038523119657258146,150,74,4,1,http,2025-03-27 10:00:10.700000000,TCP,ESTABLISHED,64,64,0
192.168.1.24,10.0.0.69,80,0.007380779218333269,480,144,6,2,http,2025-03-27 10:00:11.200000000,TCP,ESTABLISHED,64,64,0
192.168.1.152,10.0.0.60,80,0.002510554184649434,433,159,4,2,http,2025-03-27 10:00:15.500000000,TCP,ESTABLISHED,64,64,0
192.168.1.215,10.0.0.73,80,0.005223857213679241,178,174,6,1,http,2025-03-27 10:00:37.000000000,TCP,ESTABLISHED,64,64,0
192.168.1.85,10.0.0.70,80,0.002248651681505354,178,167,5,3,http,2025-03-27 10:00:31.400000000,TCP,ESTABLISHED,64,64,0
192.168.1.152,10.0.0.114,80,0.006263823217686381,117,90,6,1,http,2025-03-27 10:00:14.800000000,TCP,ESTABLISHED,64,64,0
192.168.1.52,10.0.0.134,80,0.006134575517267047,164,69,5,2,http,2025-03-27 10:00:03.300000000,TCP,ESTABLISHED,64,64,0
192.168.1.230,10.0.0.144,80,0.0012368523350020787,439,145,7,2,http,2025-03-27 10:00:06.300000000,TCP,ESTABLISHED,64,64,0
192.168.1.43,10.0.0.171,80,0.007857355266104076,267,120,7,4,http,2025-03-27 10:00:45.600000000,TCP,ESTABLISHED,64,64,0
192.168.1.176,10.0.0.84,80,0.0072390813602463515,434,145,4,1,http,2025-03-27 10:00:29.800000000,TCP,ESTABLISHED,64,64,0
192.168.1.125,10.0.0.113,80,0.0041034530281641845,217,154,3,1,http,2025-03-27 10:00:35.100000000,TCP,ESTABLISHED,64,64,0
192.168.1.169,10.0.0.31,80,0.006050184767449873,397,89,5,4,http,2025-03-27 10:00:00.300000000,TCP,ESTABLISHED,64,64,0
192.168.1.53,10.0.0.198,80,0.001444039514270195,256,153,6,4,http,2025-03-27 10:00:46.000000000,TCP,ESTABLISHED,64,64,0
192.168.1.91,10.0.0.157,80,0.006976214945827458,432,127,7,1,http,2025-03-27 10:00:03.100000000,TCP,ESTABLISHED,64,64,0
192.168.1.135,10.0.0.91,80,0.008808603981259454,233,56,5,3,http,2025-03-27 10:00:30.900000000,TCP,ESTABLISHED,64,64,0
192.168.1.44,10.0.0.180,80,0.003133247513398824,338,61,2,1,http,2025-03-27 10:00:29.300000000,TCP,ESTABLISHED,64,64,0
192.168.1.150,10.0.0.144,80,0.007630653785966182,381,172,2,3,http,2025-03-27 10:00:06.500000000,TCP,ESTABLISHED,64,64,0
192.168.1.45,10.0.0.219,80,0.0029889749681680008,497,122,5,4,http,2025-03-27 10:00:40.400000000,TCP,ESTABLISHED,64,64,0
192.168.1.18,10.0.0.68,80,0.008340719412535856,181,90,3,4,http,2025-03-27 10:00:20.000000000,TCP,ESTABLISHED,64,64,0
192.168.1.246,10.0.0.165,80,0.007552614627376526,173,102,2,1,http,2025-03-27 10:00:41.400000000,TCP,ESTABLISHED,64,64,0
192.168.1.228,10.0.0.245,80,0.0035366659672853517,261,65,5,4,http,2025-03-27 10:00:43.600000000,TCP,ESTABLISHED,64,64,0
192.168.1.186,10.0.0.159,80,0.006879803890540667,396,192,2,3,http,2025-03-27 10:00:47.200000000,TCP,ESTABLISHED,64,64,0
192.168.1.69,10.0.0.44,80,0.009098360971807086,224,109,5,3,http,2025-03-27 10:00:16.700000000,TCP,ESTABLISHED,64,64,0
192.168.1.27,10.0.0.151,80,0.0026500582528558615,224,141,5,2,http,2025-03-27 10:00:35.900000000,TCP,ESTABLISHED,64,64,0
192.168.1.194,10.0.0.211,80,0.005385757331007394,424,164,2,2,http,2025-03-27 10:00:09.300000000,TCP,ESTABLISHED,64,64,0
192.168.1.112,10.0.0.188,80,0.0045848154562211935,287,190,6,4,http,2025-03-27 10:00:43.000000000,TCP,ESTABLISHED,64,64,0
192.168.1.51,10.0.0.200,80,0.0014579725646060233,250,81,2,3,http,2025-03-27 10:00:25.300000000,TCP,ESTABLISHED,64,64,0
192.168.1.208,10.0.0.59,80,0.004911079344365848,241,128,2,4,http,2025-03-27 10:00:46.800000000,TCP,ESTABLISHED,64,64,0
192.168.1.113,10.0.0.154,80,0.007592233481813618,429,78,3,4,http,2025-03-27 10:00:05.000000000,TCP,ESTABLISHED,64,64,0
192.168.1.201,10.0.0.10,80,0.005321077342793678,313,113,3,3,http,2025-03-27 10:00:15.800000000,TCP,ESTABLISHED,64,64,0
192.168.1.230,10.0.0.93,80,0.003981213966230785,399,142,6,3,http,2025-03-27 10:00:17.400000000,TCP,ESTABLISHED,64,64,0
192.168.1.13,10.0.0.188,80,0.0064950553091119466,452,116,7,3,http,2025-03-27 10:00:01.300000000,TCP,ESTABLISHED,64,64,0
192.168.1.66,10.0.0.34,50455,0.005816880501334893,147,117,3,1,-,2025-03-27 10:00:49.700000000,TCP,ESTABLISHED,64,64,1
192.168.1.235,10.0.0.24,80,0.0020215334110686234,484,108,4,1,http,2025-03-27 10:00:07.400000000,TCP,ESTABLISHED,64,64,0
192.168.1.162,10.0.0.223,80,0.007338661842464631,197,184,7,2,http,2025-03-27 10:00:25.200000000,TCP,ESTABLISHED,64,64,0
192.168.1.37,10.0.0.33,80,0.009674757365613192,296,103,2,1,http,2025-03-27 10:00:26.400000000,TCP,ESTABLISHED,64,64,0
192.168.1.68,10.0.0.202,80,0.00420894829027672,141,52,4,1,http,2025-03-27 10:00:01.100000000,TCP,ESTABLISHED,64,64,0
192.168.1.5,10.0.0.72,80,0.00400477878477928,440,158,7,3,http,2025-03-27 10:00:01.900000000,TCP,ESTABLISHED,64,64,0
192.168.1.57,10.0.0.173,80,0.0054542399686090415,428,133,2,2,http,2025-03-27 10:00:46.500000000,TCP,ESTABLISHED,64,64,0
192.168.1.57,10.0.0.220,80,0.002995206688693127,117,151,4,2,http,2025-03-27 10:00:28.100000000,TCP,ESTABLISHED,64,64,0
192.168.1.2,10.0.0.184,80,0.0026312244155004246,216,129,3,4,http,2025-03-27 10:00:22.300000000,TCP,ESTABLISHED,64,64,0
192.168.1.63,10.0.0.220,80,0.005325510913886584,331,74,7,2,http,2025-03-27 10:00:47.900000000,TCP,ESTABLISHED,64,64,0
192.168.1.33,10.0.0.36,80,0.004273636311642223,254,172,2,4,http,2025-03-27 10:00:36.800000000,TCP,ESTABLISHED,64,64,0
192.168.1.242,10.0.0.107,80,0.0035474181871871804,442,75,7,2,http,2025-03-27 10:00:06.800000000,TCP,ESTABLISHED,64,64,0
192.168.1.136,10.0.0.123,80,0.004128163435057447,415,144,5,3,http,2025-03-27 10:00:13.600000000,TCP,ESTABLISHED,64,64,0
192.168.1.93,10.0.0.127,80,0.008403443149187693,322,167,2,1,http,2025-03-27 10:00:03.800000000,TCP,ESTABLISHED,64,64,0
192.168.1.115,10.0.0.144,80,0.002091478314826023,440,104,4,3,http,2025-03-27 10:00:33.500000000,TCP,ESTABLISHED,64,64,0
192.168.1.80,10.0.0.63,80,0.004583500567493818,397,148,3,3,http,2025-03-27 10:00:17.000000000,TCP,ESTABLISHED,64,64,0
192.168.1.119,10.0.0.149,80,0.003621373393842844,366,133,7,2,http,2025-03-27 10:00:31.300000000,TCP,ESTABLISHED,64,64,0
192.168.1.41,10.0.0.119,80,0.0017092620765313162,100,147,5,2,http,2025-03-27 10:00:08.300000000,TCP,ESTABLISHED,64,64,0
192.168.1.253,10.0.0.77,80,0.009737315364144322,301,150,4,2,http,2025-03-27 10:00:15.700000000,TCP,ESTABLISHED,64,64,0
192.168.1.75,10.0.0.78,80,0.0059389049598729225,475,118,4,1,http,2025-03-27 10:00:17.600000000,TCP,ESTABLISHED,64,64,0
192.168.1.226,10.0.0.26,80,0.007203479354018367,488,76,4,1,http,2025-03-27 10:00:28.000000000,TCP,ESTABLISHED,64,64,0
192.168.1.117,10.0.0.6,80,0.006244668982924855,104,164,5,2,http,2025-03-27 10:00:16.399999999,TCP,ESTABLISHED,64,64,0
192.168.1.24,10.0.0.141,80,0.005836765202955521,237,179,3,1,http,2025-03-27 10:00:41.300000000,TCP,ESTABLISHED,64,64,0
192.168.1.45,10.0.0.214,80,0.006658665487092411,231,169,4,4,http,2025-03-27 10:00:16.500000000,TCP,ESTABLISHED,64,64,0
192.168.1.196,10.0.0.209,80,0.006104108335853372,440,124,7,1,http,2025-03-27 10:00:06.600000000,TCP,ESTABLISHED,64,64,0
192.168.1.141,10.0.0.146,80,0.004144864297827151,494,151,4,1,http,2025-03-27 10:00:40.700000000,TCP,ESTABLISHED,64,64,0
192.168.1.27,10.0.0.45,80,0.005508071448633945,100,64,5,3,http,2025-03-27 10:00:19.000000000,TCP,ESTABLISHED,64,64,0
192.168.1.153,10.0.0.88,80,0.005387962314431256,371,137,6,3,http,2025-03-27 10:00:05.600000000,TCP,ESTABLISHED,64,64,0
192.168.1.155,10.0.0.220,80,0.005294863990381055,499,148,7,4,http,2025-03-27 10:00:32.500000000,TCP,ESTABLISHED,64,64,0
